Airline,Date,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air Asia,1/06/2019,Delhi,Cochin,"DEL , BLR , COK",07:55,22:25,14h 30m,1 stop,No info,8759
Air India,03/03/2019,Banglore,New Delhi,"BLR , AMD , DEL",00:30,23:55,23h 25m,1 stop,No info,10394
IndiGo,18/03/2019,Chennai,Kolkata,"MAA , CCU",11:35,14:00,2h 25m,non-stop,No info,3858
Air Asia,15/06/2019,Delhi,Cochin,"DEL , BLR , COK",07:55,13:25,5h 30m,1 stop,No info,6253
Jet Airways,27/05/2019,Delhi,Cochin,"DEL , AMD , BOM , COK",19:10,12:35 28 May,17h 25m,2 stops,No info,15129
GoAir,24/03/2019,Kolkata,Banglore,"CCU , HYD , BLR",06:35,14:25,7h 50m,1 stop,No info,4773
Jet Airways,21/05/2019,Kolkata,Banglore,"CCU , BOM , BLR",06:30,09:20 22 May,26h 50m,1 stop,In-flight meal not included,9663
Jet Airways,12/06/2019,Kolkata,Banglore,"CCU , DEL , BLR",17:00,09:45 13 Jun,16h 45m,1 stop,No info,12692
IndiGo,6/06/2019,Banglore,Delhi,"BLR , DEL",01:30,04:15,2h 45m,non-stop,No info,3943
Jet Airways,12/05/2019,Kolkata,Banglore,"CCU , DEL , BLR",17:00,21:05 13 May,28h 5m,1 stop,In-flight meal not included,10703
IndiGo,27/03/2019,Delhi,Cochin,"DEL , BOM , COK",06:40,21:00,14h 20m,1 stop,No info,8784
Multiple carriers,9/06/2019,Delhi,Cochin,"DEL , BOM , COK",09:15,19:00,9h 45m,1 stop,No info,11622
IndiGo,24/05/2019,Chennai,Kolkata,"MAA , CCU",22:05,00:25 25 May,2h 20m,non-stop,No info,5277
Air Asia,21/05/2019,Delhi,Cochin,"DEL , BLR , COK",16:45,07:10 22 May,14h 25m,1 stop,No info,8327
IndiGo,9/03/2019,Delhi,Cochin,"DEL , COK",05:35,08:50,3h 15m,non-stop,No info,6885
Jet Airways,12/06/2019,Banglore,Delhi,"BLR , DEL",17:45,20:45,3h,non-stop,No info,8016
IndiGo,1/06/2019,Delhi,Cochin,"DEL , PNQ , COK",23:30,04:35 02 Jun,5h 5m,1 stop,No info,10112
IndiGo,6/03/2019,Delhi,Cochin,"DEL , BOM , COK",17:30,01:35 07 Mar,8h 5m,1 stop,No info,14871
Jet Airways,9/06/2019,Delhi,Cochin,"DEL , BOM , COK",09:00,19:00,10h,1 stop,In-flight meal not included,10262
Jet Airways,24/03/2019,Mumbai,Hyderabad,"BOM , HYD",19:35,21:05,1h 30m,non-stop,In-flight meal not included,2470
Air India,9/03/2019,Delhi,Cochin,"DEL , HYD , MAA , COK",13:15,09:25 10 Mar,20h 10m,2 stops,No info,11622
Vistara,6/05/2019,Kolkata,Banglore,"CCU , DEL , BLR",20:20,10:45 07 May,14h 25m,1 stop,No info,8662
Air India,24/06/2019,Delhi,Cochin,"DEL , HYD , BOM , COK",17:15,19:15 25 Jun,26h,2 stops,No info,11972
Jet Airways,6/06/2019,Delhi,Cochin,"DEL , LKO , BOM , COK",09:25,04:25 07 Jun,19h,2 stops,In-flight meal not included,11992
Jet Airways,18/05/2019,Delhi,Cochin,"DEL , BOM , COK",10:00,04:25 19 May,18h 25m,1 stop,In-flight meal not included,12373
Multiple carriers,1/06/2019,Delhi,Cochin,"DEL , BOM , COK",10:00,01:30 02 Jun,15h 30m,1 stop,No info,7198
Jet Airways,15/06/2019,Delhi,Cochin,"DEL , BOM , COK",07:05,12:35,5h 30m,1 stop,No info,14714
IndiGo,9/06/2019,Delhi,Cochin,"DEL , BOM , COK",16:00,01:30 10 Jun,9h 30m,1 stop,No info,6316
Air India,27/03/2019,Delhi,Cochin,"DEL , BLR , COK",17:40,08:15 28 Mar,14h 35m,1 stop,No info,5998
Jet Airways,12/06/2019,Kolkata,Banglore,"CCU , BOM , BLR",18:55,16:20 13 Jun,21h 25m,1 stop,No info,13044
Multiple carriers,12/06/2019,Delhi,Cochin,"DEL , HYD , COK",13:05,22:30,9h 25m,1 stop,No info,9646
Air Asia,27/06/2019,Delhi,Cochin,"DEL , BLR , COK",16:45,07:10 28 Jun,14h 25m,1 stop,No info,6451
GoAir,24/06/2019,Delhi,Cochin,"DEL , BOM , COK",07:00,12:55,5h 55m,1 stop,No info,5281
Jet Airways,1/05/2019,Mumbai,Hyderabad,"BOM , HYD",19:35,21:05,1h 30m,non-stop,In-flight meal not included,2228
IndiGo,1/06/2019,Banglore,Delhi,"BLR , DEL",06:05,08:50,2h 45m,non-stop,No info,3943
Air India,15/06/2019,Delhi,Cochin,"DEL , GOI , BOM , COK",10:55,07:40 16 Jun,20h 45m,2 stops,No info,11753
Jet Airways,24/06/2019,Delhi,Cochin,"DEL , AMD , BOM , COK",23:05,12:35 25 Jun,13h 30m,2 stops,No info,12819
Jet Airways,21/03/2019,Delhi,Cochin,"DEL , MAA , BOM , COK",13:55,18:50 22 Mar,28h 55m,2 stops,In-flight meal not included,8728
SpiceJet,9/05/2019,Delhi,Cochin,"DEL , PNQ , COK",08:45,13:15,4h 30m,1 stop,No info,4812
Jet Airways,1/05/2019,Kolkata,Banglore,"CCU , DEL , BLR",17:00,22:05 02 May,29h 5m,1 stop,No info,14151
Vistara,1/05/2019,Kolkata,Banglore,"CCU , DEL , BLR",20:20,09:05 02 May,12h 45m,1 stop,No info,8452
IndiGo,24/03/2019,Kolkata,Banglore,"CCU , HYD , BLR",15:10,20:15,5h 5m,1 stop,No info,6762
Jet Airways,12/03/2019,Banglore,New Delhi,"BLR , BOM , DEL",18:55,13:15 13 Mar,18h 20m,1 stop,No info,13817
Jet Airways,21/05/2019,Delhi,Cochin,"DEL , BOM , COK",14:00,12:35 22 May,22h 35m,1 stop,In-flight meal not included,12898
IndiGo,6/04/2019,Kolkata,Banglore,"CCU , HYD , BLR",19:20,23:45,4h 25m,1 stop,No info,3480
Jet Airways,01/03/2019,Banglore,New Delhi,"BLR , BOM , DEL",11:40,21:20,9h 40m,1 stop,1 Long layover,27992
Jet Airways,21/03/2019,Delhi,Cochin,"DEL , BDQ , BOM , COK",18:25,04:25 22 Mar,10h,2 stops,In-flight meal not included,7791
Air India,21/03/2019,Delhi,Cochin,"DEL , BLR , COK",06:10,23:00,16h 50m,1 stop,No info,5704
IndiGo,21/05/2019,Kolkata,Banglore,"CCU , MAA , BLR",16:35,22:15,5h 40m,1 stop,No info,5268
GoAir,6/06/2019,Banglore,Delhi,"BLR , DEL",11:40,14:30,2h 50m,non-stop,No info,3898
SpiceJet,15/03/2019,Kolkata,Banglore,"CCU , BLR",09:00,11:30,2h 30m,non-stop,No info,3847
Multiple carriers,12/06/2019,Delhi,Cochin,"DEL , BOM , COK",07:30,19:00,11h 30m,1 stop,No info,10877
Multiple carriers,9/04/2019,Delhi,Cochin,"DEL , BOM , COK",08:45,19:15,10h 30m,1 stop,No info,8371
Multiple carriers,6/06/2019,Delhi,Cochin,"DEL , HYD , COK",07:10,22:30,15h 20m,1 stop,No info,7038
Jet Airways,9/06/2019,Kolkata,Banglore,"CCU , BOM , BLR",06:30,16:20,9h 50m,1 stop,No info,14571
Jet Airways,9/06/2019,Kolkata,Banglore,"CCU , BOM , BLR",20:00,09:20 10 Jun,13h 20m,1 stop,In-flight meal not included,11841
Jet Airways,18/05/2019,Delhi,Cochin,"DEL , AMD , BOM , COK",13:25,12:35 19 May,23h 10m,2 stops,No info,15129
SpiceJet,15/06/2019,Kolkata,Banglore,"CCU , BLR",22:20,00:40 16 Jun,2h 20m,non-stop,No check-in baggage included,3841
Jet Airways,24/06/2019,Delhi,Cochin,"DEL , BOM , COK",11:30,12:35 25 Jun,25h 5m,1 stop,In-flight meal not included,10262
Air India,6/04/2019,Kolkata,Banglore,"CCU , BLR",20:45,23:20,2h 35m,non-stop,No info,4460
IndiGo,03/03/2019,Banglore,New Delhi,"BLR , DEL",18:25,21:20,2h 55m,non-stop,No info,7648
Vistara,6/06/2019,Kolkata,Banglore,"CCU , DEL , BLR",07:10,20:20,13h 10m,1 stop,No info,8610
IndiGo,18/06/2019,Chennai,Kolkata,"MAA , CCU",13:15,15:35,2h 20m,non-stop,No info,3597
IndiGo,24/06/2019,Delhi,Cochin,"DEL , HYD , COK",07:35,16:10,8h 35m,1 stop,No info,6442
IndiGo,9/03/2019,Delhi,Cochin,"DEL , BOM , COK",06:40,21:00,14h 20m,1 stop,No info,12351
Multiple carriers,21/05/2019,Delhi,Cochin,"DEL , BOM , COK",17:30,01:30 22 May,8h,1 stop,No info,14067
IndiGo,15/05/2019,Banglore,Delhi,"BLR , DEL",20:00,22:50,2h 50m,non-stop,No info,4823
Vistara,24/03/2019,Kolkata,Banglore,"CCU , DEL , BLR",17:00,22:10 25 Mar,29h 10m,1 stop,No info,12102
Jet Airways,24/05/2019,Mumbai,Hyderabad,"BOM , HYD",07:05,08:30,1h 25m,non-stop,No info,8040
IndiGo,03/03/2019,Banglore,New Delhi,"BLR , DEL",10:05,13:00,2h 55m,non-stop,No info,7648
IndiGo,9/05/2019,Delhi,Cochin,"DEL , MAA , COK",02:00,07:25,5h 25m,1 stop,No info,6582
Vistara,12/06/2019,Banglore,Delhi,"BLR , DEL",11:30,14:20,2h 50m,non-stop,No info,4668
IndiGo,1/04/2019,Banglore,Delhi,"BLR , DEL",20:00,22:50,2h 50m,non-stop,No info,4823
SpiceJet,1/05/2019,Kolkata,Banglore,"CCU , BLR",22:20,00:40 02 May,2h 20m,non-stop,No info,3873
Multiple carriers,18/05/2019,Delhi,Cochin,"DEL , BOM , COK",10:20,19:15,8h 55m,1 stop,No info,8476
IndiGo,27/05/2019,Delhi,Cochin,"DEL , MAA , COK",07:15,12:30,5h 15m,1 stop,No info,5636
Jet Airways,12/05/2019,Kolkata,Banglore,"CCU , BOM , BLR",08:25,19:50,11h 25m,1 stop,In-flight meal not included,8586
IndiGo,6/06/2019,Banglore,Delhi,"BLR , DEL",18:25,21:20,2h 55m,non-stop,No info,4823
Air India,6/03/2019,Delhi,Cochin,"DEL , COK",05:10,08:00,2h 50m,non-stop,No info,6881
Jet Airways,9/05/2019,Kolkata,Banglore,"CCU , BOM , BLR",14:05,22:35,8h 30m,1 stop,In-flight meal not included,10844
IndiGo,24/04/2019,Kolkata,Banglore,"CCU , BBI , BLR",19:35,23:15,3h 40m,1 stop,No info,4226
Jet Airways,9/05/2019,Delhi,Cochin,"DEL , BOM , COK",19:15,19:00 10 May,23h 45m,1 stop,In-flight meal not included,12373
Air India,6/06/2019,Kolkata,Banglore,"CCU , JAI , BOM , BLR",08:20,21:50,13h 30m,2 stops,No info,10697
Jet Airways,3/06/2019,Mumbai,Hyderabad,"BOM , HYD",10:20,11:50,1h 30m,non-stop,In-flight meal not included,4995
Air India,24/06/2019,Delhi,Cochin,"DEL , AMD , BOM , COK",16:40,19:15 25 Jun,26h 35m,2 stops,No info,9443
Jet Airways,18/05/2019,Delhi,Cochin,"DEL , JAI , BOM , COK",05:30,04:25 19 May,22h 55m,2 stops,In-flight meal not included,13029
Jet Airways,21/03/2019,Delhi,Cochin,"DEL , BDQ , BOM , COK",18:25,04:25 23 Mar,34h,2 stops,No info,12347
Multiple carriers,9/06/2019,Delhi,Cochin,"DEL , BOM , COK",13:00,21:00,8h,1 stop,No info,7408
Jet Airways,1/04/2019,Kolkata,Banglore,"CCU , BOM , BLR",18:55,09:20 02 Apr,14h 25m,1 stop,In-flight meal not included,7064
Jet Airways,6/03/2019,Delhi,Cochin,"DEL , BOM , COK",13:00,04:25 07 Mar,15h 25m,1 stop,In-flight meal not included,13843
IndiGo,12/04/2019,Kolkata,Banglore,"CCU , BLR",15:30,18:05,2h 35m,non-stop,No info,4174
Multiple carriers,15/05/2019,Delhi,Cochin,"DEL , GWL , IDR , BOM , COK",11:35,21:00,9h 25m,3 stops,No info,16294
SpiceJet,18/05/2019,Kolkata,Banglore,"CCU , BLR",06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841
IndiGo,15/06/2019,Banglore,Delhi,"BLR , DEL",04:00,06:50,2h 50m,non-stop,No info,4423
Air India,12/06/2019,Delhi,Cochin,"DEL , COK",05:10,08:00,2h 50m,non-stop,No info,5201
Air India,03/03/2019,Banglore,New Delhi,"BLR , BOM , IDR , DEL",06:45,11:10 07 Mar,28h 25m,2 stops,No info,12599
IndiGo,21/05/2019,Mumbai,Hyderabad,"BOM , HYD",06:25,07:55,1h 30m,non-stop,No info,4049
Air India,24/05/2019,Kolkata,Banglore,"CCU , BOM , TRV , BLR",09:25,10:30 25 May,25h 5m,2 stops,No info,12797
Jet Airways,24/05/2019,Kolkata,Banglore,"CCU , DEL , BLR",20:25,10:55 25 May,14h 30m,1 stop,No info,13067
Vistara,24/05/2019,Kolkata,Banglore,"CCU , DEL , BLR",20:20,18:50 25 May,22h 30m,1 stop,No info,9345
IndiGo,21/05/2019,Delhi,Cochin,"DEL , HYD , COK",05:05,12:10,7h 5m,1 stop,No info,6818
Jet Airways,3/05/2019,Mumbai,Hyderabad,"BOM , HYD",10:20,11:50,1h 30m,non-stop,No info,8040
Jet Airways,12/06/2019,Delhi,Cochin,"DEL , ATQ , BOM , COK",18:20,12:35 13 Jun,18h 15m,2 stops,No info,14300
Multiple carriers,15/05/2019,Delhi,Cochin,"DEL , BOM , COK",18:15,01:30 16 May,7h 15m,1 stop,No info,13727
Jet Airways,21/03/2019,Banglore,New Delhi,"BLR , BOM , DEL",16:55,10:25 19 Mar,17h 30m,1 stop,In-flight meal not included,7832
Multiple carriers,9/03/2019,Delhi,Cochin,"DEL , BOM , COK",04:00,12:55,8h 55m,1 stop,No info,16259
IndiGo,27/06/2019,Banglore,Delhi,"BLR , DEL",08:30,11:20,2h 50m,non-stop,No info,4823
Jet Airways,06/03/2019,Banglore,New Delhi,"BLR , BOM , DEL",11:40,08:15 07 Mar,20h 35m,1 stop,No info,16736
Air India,6/06/2019,Kolkata,Banglore,"CCU , BOM , AMD , BLR",09:25,05:25 07 Jun,20h,2 stops,No info,13217
Multiple carriers,27/03/2019,Delhi,Cochin,"DEL , BOM , COK",12:50,21:00,8h 10m,1 stop,No info,6637
Jet Airways,9/06/2019,Kolkata,Banglore,"CCU , BOM , BLR",18:55,12:00 10 Jun,17h 5m,1 stop,In-flight meal not included,10844
Multiple carriers,21/03/2019,Delhi,Cochin,"DEL , BOM , COK",10:00,19:15,9h 15m,1 stop,In-flight meal not included,8401
SpiceJet,12/04/2019,Kolkata,Banglore,"CCU , BLR",09:00,11:25,2h 25m,non-stop,No info,3873
Jet Airways,24/06/2019,Delhi,Cochin,"DEL , ATQ , BOM , COK",20:00,04:25 25 Jun,8h 25m,2 stops,In-flight meal not included,12410
Jet Airways,18/05/2019,Delhi,Cochin,"DEL , AMD , BOM , COK",23:05,12:35 19 May,13h 30m,2 stops,No info,15129
IndiGo,1/05/2019,Banglore,Delhi,"BLR , DEL",13:00,15:50,2h 50m,non-stop,No info,4423
Jet Airways,27/05/2019,Delhi,Cochin,"DEL , BOM , COK",13:00,19:00,6h,1 stop,No info,16079
Air India,6/06/2019,Kolkata,Banglore,"CCU , VNS , DEL , BLR",14:30,08:55 07 Jun,18h 25m,2 stops,No info,15894
Multiple carriers,15/05/2019,Delhi,Cochin,"DEL , BOM , COK",04:55,19:00,14h 5m,1 stop,No info,9103
Air India,12/06/2019,Delhi,Cochin,"DEL , BLR , COK",09:45,08:15 13 Jun,22h 30m,1 stop,No info,8991
Air India,1/04/2019,Kolkata,Banglore,"CCU , BOM , HBX , BLR",16:50,18:20 02 Apr,25h 30m,2 stops,No info,7893
IndiGo,3/03/2019,Mumbai,Hyderabad,"BOM , HYD",02:30,04:00,1h 30m,non-stop,No info,4575
SpiceJet,3/05/2019,Kolkata,Banglore,"CCU , BLR",09:00,11:25,2h 25m,non-stop,No info,3873
Jet Airways,21/03/2019,Banglore,New Delhi,"BLR , BOM , DEL",05:45,21:20,15h 35m,1 stop,In-flight meal not included,7832
IndiGo,1/05/2019,Chennai,Kolkata,"MAA , CCU",14:45,17:05,2h 20m,non-stop,No info,3597
Jet Airways,24/03/2019,Kolkata,Banglore,"CCU , BOM , BLR",21:10,23:25 25 Mar,26h 15m,1 stop,No info,13759
Jet Airways,27/05/2019,Banglore,Delhi,"BLR , DEL",18:55,22:00,3h 5m,non-stop,No info,7229
SpiceJet,15/04/2019,Kolkata,Banglore,"CCU , BLR",06:55,09:30,2h 35m,non-stop,No info,3873
Multiple carriers,15/05/2019,Delhi,Cochin,"DEL , BOM , COK",06:00,19:00,13h,1 stop,No info,9794
Air India,27/03/2019,Delhi,Cochin,"DEL , BLR , COK",13:30,08:15 28 Mar,18h 45m,1 stop,No info,6681
IndiGo,21/04/2019,Banglore,Delhi,"BLR , DEL",21:15,00:15 22 Apr,3h,non-stop,No info,4423
Jet Airways,15/05/2019,Kolkata,Banglore,"CCU , BOM , BLR",08:25,19:50,11h 25m,1 stop,In-flight meal not included,10844
IndiGo,1/06/2019,Delhi,Cochin,"DEL , BOM , COK",09:15,21:00,11h 45m,1 stop,No info,7258
Jet Airways,12/06/2019,Mumbai,Hyderabad,"BOM , HYD",10:20,11:50,1h 30m,non-stop,In-flight meal not included,4995
Jet Airways,9/06/2019,Delhi,Cochin,"DEL , BOM , COK",20:55,19:00 10 Jun,22h 5m,1 stop,No info,14924
Vistara,15/03/2019,Banglore,New Delhi,"BLR , AMD , DEL",06:40,10:25 16 Mar,27h 45m,1 stop,No info,6590
Jet Airways,3/06/2019,Delhi,Cochin,"DEL , BOM , COK",20:55,12:35 04 Jun,15h 40m,1 stop,In-flight meal not included,10262
SpiceJet,9/03/2019,Kolkata,Banglore,"CCU , BLR",09:00,11:30,2h 30m,non-stop,No info,5515
Jet Airways,27/03/2019,Delhi,Cochin,"DEL , AMD , BOM , COK",19:10,19:45 28 Mar,24h 35m,2 stops,In-flight meal not included,6643
IndiGo,24/06/2019,Mumbai,Hyderabad,"BOM , HYD",19:05,20:35,1h 30m,non-stop,No info,2754
IndiGo,9/06/2019,Delhi,Cochin,"DEL , BLR , COK",17:05,22:15,5h 10m,1 stop,No info,6493
IndiGo,24/05/2019,Kolkata,Banglore,"CCU , NAG , BLR",18:05,23:30,5h 25m,1 stop,No info,6218
Air India,6/06/2019,Delhi,Cochin,"DEL , BHO , BOM , COK",05:55,19:15,13h 20m,2 stops,No info,10861
IndiGo,6/03/2019,Delhi,Cochin,"DEL , HYD , COK",07:35,16:10,8h 35m,1 stop,No info,7094
SpiceJet,24/03/2019,Mumbai,Hyderabad,"BOM , HYD",22:45,00:10 25 Mar,1h 25m,non-stop,No info,2227
Jet Airways,21/04/2019,Banglore,Delhi,"BLR , DEL",19:50,22:50,3h,non-stop,In-flight meal not included,4544
Air India,21/03/2019,Banglore,New Delhi,"BLR , CCU , BBI , DEL",05:50,16:20,10h 30m,2 stops,No info,7664
Jet Airways,27/06/2019,Banglore,Delhi,"BLR , DEL",17:45,20:45,3h,non-stop,No info,8016
Air Asia,27/05/2019,Kolkata,Banglore,"CCU , BLR",22:50,01:20 28 May,2h 30m,non-stop,No info,3807
Air India,3/06/2019,Delhi,Cochin,"DEL , LKO , BOM , COK",07:10,19:15,12h 5m,2 stops,No info,12698
Jet Airways,24/05/2019,Kolkata,Banglore,"CCU , BOM , BLR",06:30,04:40 25 May,22h 10m,1 stop,In-flight meal not included,8586
Jet Airways,1/04/2019,Kolkata,Banglore,"CCU , BOM , BLR",06:30,04:40 02 Apr,22h 10m,1 stop,In-flight meal not included,7064
IndiGo,9/06/2019,Delhi,Cochin,"DEL , COK",05:35,08:50,3h 15m,non-stop,No info,5601
SpiceJet,21/05/2019,Delhi,Cochin,"DEL , MAA , COK",15:45,22:05,6h 20m,1 stop,No info,7317
Air India,6/05/2019,Kolkata,Banglore,"CCU , DEL , COK , TRV , BLR",10:00,10:30 07 May,24h 30m,3 stops,No info,12797
IndiGo,6/04/2019,Kolkata,Banglore,"CCU , MAA , BLR",06:15,10:30,4h 15m,1 stop,No info,4226
Jet Airways,12/05/2019,Kolkata,Banglore,"CCU , DEL , BLR",17:00,23:35,6h 35m,1 stop,No info,14151
IndiGo,27/03/2019,Delhi,Cochin,"DEL , BOM , COK",10:45,01:35 28 Mar,14h 50m,1 stop,No info,6628
IndiGo,09/03/2019,Banglore,New Delhi,"BLR , DEL",04:00,06:50,2h 50m,non-stop,No info,8033
Multiple carriers,1/06/2019,Delhi,Cochin,"DEL , BOM , COK",10:35,19:00,8h 25m,1 stop,No info,11200
IndiGo,24/06/2019,Kolkata,Banglore,"CCU , BLR",15:30,18:05,2h 35m,non-stop,No info,4804
Air Asia,12/06/2019,Kolkata,Banglore,"CCU , DEL , BLR",22:40,10:40 13 Jun,12h,1 stop,No info,5192
Jet Airways,12/06/2019,Delhi,Cochin,"DEL , JAI , BOM , COK",09:40,04:25 13 Jun,18h 45m,2 stops,No info,13014
Jet Airways,21/05/2019,Kolkata,Banglore,"CCU , BOM , BLR",21:10,22:35 22 May,25h 25m,1 stop,In-flight meal not included,10844
Multiple carriers,6/03/2019,Delhi,Cochin,"DEL , BOM , COK",07:00,15:30,8h 30m,1 stop,No info,15603
GoAir,3/04/2019,Banglore,Delhi,"BLR , DEL",07:45,10:40,2h 55m,non-stop,No info,4239
Jet Airways,12/06/2019,Kolkata,Banglore,"CCU , BOM , BLR",14:05,10:05 13 Jun,20h,1 stop,No info,13044
Jet Airways,27/05/2019,Delhi,Cochin,"DEL , BOM , COK",18:15,19:00 28 May,24h 45m,1 stop,In-flight meal not included,12898
SpiceJet,1/04/2019,Kolkata,Banglore,"CCU , PNQ , BLR",08:35,17:15,8h 40m,1 stop,No info,6013
Jet Airways,6/05/2019,Kolkata,Banglore,"CCU , BOM , BLR",16:30,22:35,6h 5m,1 stop,No info,14781
Jet Airways,21/03/2019,Delhi,Cochin,"DEL , BOM , COK",17:30,04:25 22 Mar,10h 55m,1 stop,No info,12557
Multiple carriers,6/03/2019,Delhi,Cochin,"DEL , BOM , COK",04:45,18:50,14h 5m,1 stop,No info,13875
Jet Airways,15/06/2019,Delhi,Cochin,"DEL , IDR , BOM , COK",09:35,04:25 16 Jun,18h 50m,2 stops,In-flight meal not included,11507
Air India,18/06/2019,Kolkata,Banglore,"CCU , BLR",14:15,16:45,2h 30m,non-stop,No info,5510
GoAir,24/03/2019,Kolkata,Banglore,"CCU , AMD , BLR",16:25,00:05 25 Mar,7h 40m,1 stop,No info,10198
Jet Airways,12/06/2019,Kolkata,Banglore,"CCU , GAU , BLR",10:20,17:35,7h 15m,1 stop,No info,8355
Jet Airways,1/06/2019,Banglore,Delhi,"BLR , DEL",18:55,22:00,3h 5m,non-stop,No info,8016
IndiGo,27/05/2019,Delhi,Cochin,"DEL , BOM , COK",10:35,21:00,10h 25m,1 stop,No info,6314
Air India,9/03/2019,Delhi,Cochin,"DEL , COK",05:10,08:00,2h 50m,non-stop,No info,5831
Jet Airways,24/06/2019,Delhi,Cochin,"DEL , BOM , COK",19:15,04:25 25 Jun,9h 10m,1 stop,In-flight meal not included,10262
Multiple carriers,6/03/2019,Delhi,Cochin,"DEL , BOM , COK",13:55,01:35 07 Mar,11h 40m,1 stop,In-flight meal not included,15136
Jet Airways,21/03/2019,Banglore,New Delhi,"BLR , BOM , DEL",20:35,10:25 19 Mar,13h 50m,1 stop,In-flight meal not included,7832
SpiceJet,24/03/2019,Chennai,Kolkata,"MAA , CCU",08:20,10:35,2h 15m,non-stop,No info,3859
IndiGo,6/04/2019,Kolkata,Banglore,"CCU , BLR",15:15,17:45,2h 30m,non-stop,No info,4174
Jet Airways,06/03/2019,Banglore,New Delhi,"BLR , BOM , DEL",05:45,11:25,5h 40m,1 stop,No info,19225
IndiGo,9/03/2019,Delhi,Cochin,"DEL , BOM , COK",04:45,21:00,16h 15m,1 stop,No info,10518
IndiGo,6/04/2019,Banglore,Delhi,"BLR , DEL",07:10,10:05,2h 55m,non-stop,No info,4823
Air India,24/03/2019,Banglore,New Delhi,"BLR , DEL",10:00,12:45,2h 45m,non-stop,No info,7276
Multiple carriers,9/06/2019,Delhi,Cochin,"DEL , BOM , COK",10:00,19:00,9h,1 stop,No info,12192
Air Asia,1/06/2019,Delhi,Cochin,"DEL , BLR , COK",16:45,07:10 02 Jun,14h 25m,1 stop,No info,11410
Air India,21/05/2019,Kolkata,Banglore,"CCU , DEL , COK , BLR",10:00,01:20 22 May,15h 20m,2 stops,No info,13033
Jet Airways,01/03/2019,Banglore,New Delhi,"BLR , BOM , DEL",05:45,15:15,9h 30m,1 stop,No info,26890
IndiGo,27/06/2019,Kolkata,Banglore,"CCU , BLR",15:15,17:45,2h 30m,non-stop,No info,4804
Jet Airways,15/05/2019,Kolkata,Banglore,"CCU , BOM , BLR",18:55,20:45 16 May,25h 50m,1 stop,In-flight meal not included,10844
Air India,12/06/2019,Delhi,Cochin,"DEL , JDH , BOM , COK",12:55,19:15 13 Jun,30h 20m,2 stops,No info,12436
IndiGo,21/06/2019,Banglore,Delhi,"BLR , DEL",07:10,10:05,2h 55m,non-stop,No info,4823
IndiGo,3/06/2019,Mumbai,Hyderabad,"BOM , HYD",21:20,22:50,1h 30m,non-stop,No info,2227
Jet Airways,1/06/2019,Delhi,Cochin,"DEL , BOM , COK",20:55,12:35 02 Jun,15h 40m,1 stop,In-flight meal not included,10262
Jet Airways,3/03/2019,Delhi,Cochin,"DEL , BOM , COK",08:00,04:25 04 Mar,20h 25m,1 stop,No info,17024
Jet Airways,27/03/2019,Delhi,Cochin,"DEL , IXC , BOM , COK",06:20,04:25 28 Mar,22h 5m,2 stops,In-flight meal not included,9296
Air India,6/06/2019,Delhi,Cochin,"DEL , COK",18:05,21:10,3h 5m,non-stop,No info,6094
Jet Airways,9/06/2019,Kolkata,Banglore,"CCU , BOM , BLR",08:25,04:40 10 Jun,20h 15m,1 stop,In-flight meal not included,8586
Jet Airways,15/06/2019,Delhi,Cochin,"DEL , NAG , BOM , COK",06:45,04:25 16 Jun,21h 40m,2 stops,In-flight meal not included,10919
GoAir,9/06/2019,Kolkata,Banglore,"CCU , AMD , BLR",16:40,00:15 10 Jun,7h 35m,1 stop,No info,9495
Jet Airways,12/06/2019,Delhi,Cochin,"DEL , BOM , COK",21:50,04:25 13 Jun,6h 35m,1 stop,No info,14714
Air India,24/06/2019,Delhi,Cochin,"DEL , COK",14:10,17:10,3h,non-stop,No info,5201
Air India,27/03/2019,Delhi,Cochin,"DEL , HYD , MAA , COK",09:45,09:25 28 Mar,23h 40m,2 stops,No info,7090
IndiGo,15/05/2019,Mumbai,Hyderabad,"BOM , HYD",09:10,10:40,1h 30m,non-stop,No info,4575
Multiple carriers,15/05/2019,Delhi,Cochin,"DEL , HYD , COK",07:05,16:10,9h 5m,1 stop,No info,9646
IndiGo,12/06/2019,Delhi,Cochin,"DEL , MAA , COK",02:00,07:25,5h 25m,1 stop,No info,5636
Multiple carriers,15/06/2019,Delhi,Cochin,"DEL , HYD , COK",07:05,16:10,9h 5m,1 stop,No info,9646
Jet Airways,9/03/2019,Mumbai,Hyderabad,"BOM , HYD",19:40,21:10,1h 30m,non-stop,In-flight meal not included,4050
Jet Airways,9/06/2019,Delhi,Cochin,"DEL , BOM , COK",21:50,19:00 10 Jun,21h 10m,1 stop,No info,14714
IndiGo,18/06/2019,Kolkata,Banglore,"CCU , BLR",15:15,17:45,2h 30m,non-stop,No info,4804
Jet Airways,9/06/2019,Delhi,Cochin,"DEL , BOM , COK",18:15,19:00 10 Jun,24h 45m,1 stop,In-flight meal not included,10577
GoAir,15/06/2019,Banglore,Delhi,"BLR , DEL",20:55,23:40,2h 45m,non-stop,No info,3898
Jet Airways,6/06/2019,Kolkata,Banglore,"CCU , BOM , BLR",20:00,12:00 07 Jun,16h,1 stop,No info,14571
